Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2012,AFG,UZB,Afghanistan,Uzbekistan,REF,,,,5,9,11,47,5,0,77,5,5,11,66,9,0,96,173
2012,AFG,VEN,Afghanistan,Venezuela (Bolivarian Republic of),REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2013,AFG,AFG,Afghanistan,Afghanistan,IDP,,,,45696,67954,47601,151444,7475,0,320170,46879,66818,49911,134789,12719,0,311116,631286
2013,AFG,AFG,Afghanistan,Afghanistan,OOC,,,,8313,33580,25119,66849,3803,0,137664,8349,35306,26467,61086,6614,0,137822,275486
2013,AFG,AFG,Afghanistan,Afghanistan,RDP,,,,1577,2352,1649,5238,257,0,11073,1617,2313,1727,4662,438,0,10757,21830
2013,AFG,AFG,Afghanistan,Afghanistan,RET,,,,2802,4184,2921,9307,447,0,19661,2872,4106,3071,8282,774,0,19105,39666
2013,AFG,DZA,Afghanistan,Algeria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,AFG,EGY,Afghanistan,Egypt,ASY,,,,6,0,0,5,0,0,11,0,5,0,12,0,0,17,28
2013,AFG,EGY,Afghanistan,Egypt,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,AFG,ARG,Afghanistan,Argentina,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,AFG,AUS,Afghanistan,Australia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939
2013,AFG,AUS,Afghanistan,Australia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8368
2013,AFG,AUT,Afghanistan,Austria,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6248
